UID,LAST_NAME,FIRST_NAME,ALIASES,ALTERNATIVE_SPELLING
677,CHINAMASA,Patrick,"CHINAMASA,PATRICK ANTHONY;CHINAMASA,Patrick;CHINAMASA,Patrick Anthony;CHINAMASA,Patrick Antony;Chinamasa Patrick Anthony;Chinamasa,Patrick Anthony;Patrick Anthony CHINAMASA;Patrick Anthony Chinamasa",
682,YASSIN,Sheik Ahmed Ismail,"Ahmed Ismail Yassin;Ahmed Yassin;Sheik Ahmed Ismail Yassin;Sheik Ahmed Yassin;YASIN,Ahmed Ismail;YASSIN,Ahmad Ismael;YASSIN,Ahmed;YASSIN,Sheik Ahmed Ismail;YASSIN,Sheikh;YASSIN,Sheikh Ahmed;YASSIN,Sheikh Ahmed Ismail Hassan;YASSIN,Shiek Ahmed Ismail;Yassin,Ahmad Ismail;Yassin,Ahmed Ismail",
689,CHOMBO,Ignatius Morgan,"CHOMBO,IGNATIUS MORGAN CHIMINYA;CHOMBO,IGNATIUS MORGAN CHININYA;CHOMBO,Ignatius;CHOMBO,Ignatius Morgan;CHOMBO,Ignatius Morgan Chiminya;CHOMBO,Ignatius Morgan Chininya;CHOMBO,Ignatius Morgen Chiminya;Chombo Ignatius Morgan Chiminya;Chombo,Ignatius Morgan Chiminya;Chombo,Ignatius Morgan Chininya;Ignatius Morgan Chiminya CHOMBO;Ignatius Morgan Chiminya Chombo",
733,NEW PEOPLE'S ARMY / COMMUNIST PARTY OF THE PHILIPPINES,,"Arm Nua an Phobail - APN;Arm Nua an Phobail - APN, na hOileáin Fhilipíneacha;Az Új Néphadsereget (NPA);BAGONG HUKBONG BAYAN;Basque Homeland and Liberty;CNN;COMMUNIST PARTY OF THE PHILIPPINES;COMMUNIST PARTY OF THE PHILIPPINES AND THE NEW PEOPLE'S ARMY;CPP;CPP-NPA-NDF;CPP/NPA;Communist Party of the Philippines;Communist Party of the Philippines/New People's Army;Communist Party of the Philippines/New People's Army (CPP/NPA);Det Filippinske Kommunistparti;Det filippinske kommunistparti;Filipiinide Kommunistlik Partei;Filipinu Komunistiska partija;Filippiinien kommunistinen puolue;Filippinernas kommunistparti;Fülöp-szigeteki Kommunista Párt;Fülöp-szigeteki Kommunista Párt, Fülöp-szigetek;Il-Partit Komunista tal-Filippini;Jauna tautas armija;Kommunistische Partei der Philippinen;Komunistická strana Filipin;Komunistická strana Filipín;Komunisticna partija Filipinov;Komunistyczna Partia Filipin;NAP;NEP;NEW PEOPLE'S ARMY;NEW PEOPLE'S ARMY (NPA);NEW PEOPLE'S ARMY AND THE COMMUNIST PARTY OF THE PHILIPPINES, (NPA/CPP);NEW PEOPLE'S ARMY COMMUNIST PARTY OF THE PHILIPPINES;NEW PEOPLES ARMY (NPA)/COMMUNIST PARTY OF THE PHILIPPINES;NEW PEOPLES ARMY COMMUNIST PARTY OF THE PHILIPPINES;NOUVELLE ARMÉE DU PEUPLE;NOUVELLE ARMÉE POPULAIRE/PARTI COMMUNISTE DES PHILIPPINES;NPA;NPA)/Nuevo Ejército del Pueblo (NEP), Filipinas;NPA, Philippines;NPA/CPP;NPP/CPP;Neue Volksarmee;Neue Volksarmee - NPA;New People''s Army/Communist Party of the Philippines;New People's Army;New People's Army (NPA);New People's Army (NPA), Filipijnen;New People's Army (NPA), Filipinas;New People's Army (NPA),Philippines;New People's Army (Neue Volksarmee) - NPA;New People's Army (Neue Volksarmee) - NPA, Philippinen;New People's Army (Nova narodna vojska) - NPA Filipini;New People's Army - NPA;New People's Army - NPA (Nuovo esercito popolare), Filippine;New People's Army - NPA, Filipijnen;New People's Army - NPA, Filippinerne;New People's Army - NPA, Philippines;New People's Army - NPA,Filippine;New People's Army and the Communist Party of the Philippines;New People's Army and the Communist Party of the Philippines (NPA/CPP);New People's Army/Communist Party of the Philippines;New People's Army/Communist Party of the Philippines (NPA/CPP);New Peoples Army;New Peoples Army (NPA);New Peoples Army (Nova ljudska vojska) - NPA, Filipini;Noua Armata Populara;Nouvelle Armée du peuple;Nouvelle Armée populaire/Parti communiste des Philippines;Nouvelle armée du peuple;Nouvelle armée du peuple (NPA);Nouvelle armée du peuple - NAP, Philippines;Nova ljudska vojska;Nova ljudska vojska - NPA, Filipini;Nova narodna vojska;Novo Exército Popular;Novo Exército Popular (NEP);Novo Exército Popular (NEP), Filipinas;Novo ljudsko vojsko;Novo ljudsko vojsko - NPA, Filipini;Nová l'udová armáda;Nové lidové armády;Nové lidové armády (Filipiny);Nové lidové armády (Filipíny);Nové lidové armády Filipíny;Nowa Armia Ludowa;Nowa Armia Ludowa, Filipiny;Nuevo Ejército del Pueblo;Nuevo Ejército del Pueblo (NEP);Nuevo Ejército del Pueblo (NEP) de Filipinas;Nuevo Ejército del Pueblo (NEP),Filipinas;Nuovo esercito popolare;Nya folkarmén;Nya folkarmén - NPA, Filippinerna;PARTI COMMUNISTE DES PHILIPPINES;PARTIDO COMUNISTA DE FILIPINAS;Parti communiste des Philippines;Parti communiste des Philippines, y compris la New People's Army (NPA);Parti communiste des Philippines, y compris la Nouvelle armée du peuple - NAP, Philippines;Parti communiste des Philippines,y compris la New People's Army (NPA);Parti communiste des Philippines,y compris la Nouvelle armée du peuple;Parti communiste des Philippines/New People's Army (NPA);Partido Comunista das Filipinas;Partido Comunista de Filipinas;Partido Comunista de las Filipinas;Partidul Comunist din Filipine;Partit Komunista tal-Filippini;Partito comunista delle Filippine;Páirtí Cumannach na nOileán Filipíneach;Uus Rahvaarmee;Uus Rahvaarmee, Filipiinid;Uusi kansanarmeija;Uusi kansanarmeija (New People's Army - NPA), Filippiinit;Uusi kansanarmeija - NPA, Filippiinit;Új Néphadsereg;Új Néphadsereget",
749,CORIC,Valentin,"CORIC,Valentin;Velentin CORIC",
886,REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,,"ARMÉE/FRONT/PARTI RÉVOLUTIONNAIRE POPULAIRE DE LIBÉRATION;ARMÉE/FRONT/PARTI RÉVOLUTIONNAIRE POPULAIRE DE LIBÉRATION (DHKP/C);An Eite Chlé Réabhlóideach;Arm/Fronta/Páirtí Saortha Réabhlóidigh an Phobail;Armata/Frontul/Partidul de Eliberare Revolutionara Populara;Armée/Front/Parti révolutionnaire populaire de libération;DEV SOL;DEV SOL ARMED REVOLUTIONARY UNITS;DEV SOL SDB;DEV SOL SILAHLI DEVRIMCI BIRLIKLERI;DEVRIMCI HALK KURTULUS PARTISI-CEPHESI;DEVRIMCI HALK KURTULUS PARTISI-CEPHESI (DHKP/C);DEVRIMCI SOL;DEVRIMCI SOL (IZQUIERDA REVOLUCIONARIA;DHKC/SPB;DHKP;DHKP-C;DHKP/C;Dev Sol;Dev Sol (Armée/Front/Parti révolutionnaire populaire de libération);Dev Sol (Izquierda revolucionaria);Dev Sol (Revolutionary People's Liberation Army/Front/Party / Revolutsiooniline Rahva Vabastusarmee/Rinne/Partei);Dev Sol Armed Revolutionary Units;Dev Sol Revolutionary People's Liberation Army/Front/Party / Revolutsiooniline Rahva Vabastusarmee/-rinne/-partei;Dev Sol SDB;Devrimci Halk Kurtulus Partisi - Cephesi;Devrimci Halk Kurtulus Partisi - Cephesi (DHKP-C);Devrimci Halk Kurtulus Partisi - Cephesi - DHKP-C;Devrimci Halk Kurtulus Partisi-Cephesi;Devrimci Halk Kurtulus Partisi-Cephesi (DHKP/C);Devrimci Halk Kurtulus Partisi-Cephesi - DHKP/C;Devrimci Sol;Devrimci Sol (Esquerda Revolucionária);Devrimci Sol (Forradalmi Baloldal);Devrimci Sol (Gauche révolutionnaire);Devrimci Sol (Izquierda revolucionaria);Devrimci Sol (Izquierda revolucionaria) y Dev Sol;Devrimci Sol (Lewica Rewolucyjna);Devrimci Sol (Revolucionarna levica);Devrimci Sol (Revolutionair Links);Devrimci Sol (Revolutionary Left / Revolutsioonilised Vasakpoolsed);Devrimci Sol (Revolutionary Left);Devrimci Sol (Revolutionäre Linke);Devrimci Sol (Revolutionäre Linke),Dev Sol;Devrimci Sol (Revolutsioonilised Vasakpoolsed);Devrimci Sol (Sinistra rivoluzionaria);Devrimci Sol (Sinistra rivoluzionaria,Dev Sol);Devrimci Sol (Vallankumouksellinen vasemmisto);Devrimci Sol (Xellug Rivoluzzjonarju);Ejército/Frente/Partido Revolucionario de Liberación Popular;Ejército/Frente/Partido Revolucionario de Liberación Popular (DHKP/C);Esercito/Fronte/Partito rivoluzionario popolare di liberazione;Esquerda Revolucionária;Exército/Frente/Partido Revolucionário Popular de Libertacao;Exército/Frente/Partido Revolucionário Popular de Libertação;Folkets Revolutionaere Befrielseshaer/Befrielsesfront/Parti;Folkets revolutionära befrielsefront/parti;Forradalmi Baloldal;Forradalmi Nepi Felszabaditasi Hadsereg/Front/Part;Forradalmi Népi Felszabadítási Hadsereg/Front/Párt;Frente Revolucionario de Liberación Nacional;Gauche révolutionnaire;Izquierda Revolucionaria;Izquierda revolucionaria;Lewica Rewolucyjna;PARTI RÉVOLUTIONNAIRE POPULAIRE DE LIBÉRATION-FRONT;Parti révolutionnaire populaire de libération-Front (DHKP/C);Partia, Front i Armia Wyzwolenia Ludu Tureckiego;Partia/Front i Armia Wyzwolenia Ludu Tureckiego;Partia/Front/Armia Wyzwolenia Ludu Tureckiego;REVOLUTIONARY LEFT;REVOLUTIONARY PEOPLE'S LIBERATION ARMY;REVOLUTIONARY PEOPLE'S LIBERATION ARMY/FRONT;REVOLUTIONARY PEOPLE'S LIBERATION FRONT (DHKC);REVOLUTIONARY PEOPLE'S LIBERATION FRONT/ARMED PROPAGANDA UNITS (DHKC/SPB);REVOLUTIONARY PEOPLE'S LIBERATION PARTY (DHKP);REVOLUTIONARY PEOPLES' LIBERATION PARTY - FRONT (DEVRIMCI HALK KURTULUS PARTISI-CEPHESI) (DHKP-C);REVOLUTIONARY PEOPLES' LIBERATION PARTY-FRONT (DEVRIMCI HALK KURTULUS PARTISI-CEPHESI) (DHKP-C);Revoliucine kaire;Revoliucine liaudies islaisvinimo armija/frontas/partija;Revolucionara Tautas atbrivosanas armija/fronte/partija;Revolucionarna levica;Revolucionarna ljevica;Revolucionarna ljudska osvobodilna vojska/fronta/stranka;Revolucna l'avica;Revolucna l'udova oslobodzovacia armada/front/strana;Revolucni levice;Revolucni lidove osvobozenecka armada/fronta/strana;Revolutionaert Venstre;Revolutionair Links;Revolutionair Volksbevrijdingsleger/ front/partij (DHKP/C);Revolutionair Volksbevrijdingsleger/-front/-partij;Revolutionair Volksbevrijdingsleger/front/partij;Revolutionair(e) Volksbevrijdingsleger/front/partij;Revolutionare Linke;Revolutionare Volksbefreiungsarmee/-front/- partei;Revolutionary Left;Revolutionary People's Liberation Army;Revolutionary People's Liberation Army/Front (DHKP/C);Revolutionary People's Liberation Army/Front/Party;Revolutionary People's Liberation Army/Front/Party (DHKP/C);Revolutionary People's Liberation Front;Revolutionary People's Liberation Front (DHKC);Revolutionary People's Liberation Front/Armed Propaganda Units;Revolutionary People's Liberation Front/Armed Propaganda Units (DHKC/SPB);Revolutionary People's Liberation Party;Revolutionary People's Liberation Party (DHKC);Revolutionary People's Liberation Party (DHKP);Revolutionary People's Liberation Party - Front;Revolutionary People's Liberation Party-Front (Devrimci Halk Kurtulus Partisi-Cephesi) (DHKP-C);Revolutionary People's Liberation Party/Front;Revolutionary People's Liberation Party/Front (DHKP/C);Revolutionary People's Liberation Party/Front (DHPK/C);Revolutionary Peoples' Liberation Party - Front;Revolutionary Peoples' Liberation Party - Front (Devrimci Halk Kurtulus Partisi - Cephesi) (DHKP-C);Revolutionary Peoples' Liberation Party - Front (Devrimci Halk Kurtulus Partisi-Cephesi) (DHKP-C);Revolutionary Peoples' Liberation Party-Front (Devrimci Halk Kurtulus Partisi-Cephesi) (DHKP-C);Revolutionäre Linke;Revolutionäre Volksbefreiungsarmee/-front/- partei;Revolutionäre Volksbefreiungsarmee/-front/-partei;Revolutsiooniline Rahva Vabastusarmee / -rinne / -partei;Revolutsiooniline Rahva Vabastusarmee/ Rinne/Partei;Revolutsiooniline Rahva Vabastusarmee/-rinne/-partei;Revolutsiooniline Rahva Vabastusarmee/Rinne/Partei;Revolutsioonilised Vasakpoolsed;Rewolucyjna Ludowa Partia/Front/Armia Wyzwolenia;Sinistra rivoluzionaria;Stanga Revolutionara;Vallankumouksellinen vasemmisto;Xellug Rivoluzzjonarju;ix-Xellug Rivoluzzjonarju;revolucionari kreisie;revolucionarna levica;the Revolutionary People's Liberation Front (DHKC);the Revolutionary People's Liberation Front/Armed Propaganda Units (DHKC/SPB);the Revolutionary People's Liberation Party (DHKP)",
890,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,,AL-JABHAH AL-DIMUQRATIYAH LI-TAHRIR FILASTIN;Al Jabha Al ShaabiyaAl Demokratia L'Takhrir Falastine;DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE;DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE (DFLP);DFLP;Hawatmah Front;Hawatme Front / PFLP;JABAAH SHAA'BIAH LITAHRIR PALESTINE (HAWATMEH);Jabaah Shaa'biah Litahrir Palestine (Habash);Jabaah Shaa'biah Litahrir Palestine (Hawatme);Jabhat Khawatma;PDFLP;POPULAR DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE (PDFLP);Popular Democratic Front for Liberation of Palestine;RED STAR BATTALIONS;RED STAR FORCES;The Democratic Popular Front (Hawatme);The Democratic Popular Front for the Liberation of Palestine (Hawatme);The Popular Front for the Liberation of Palestine,
899,VIEIRA DIAS,Manuel Helder,"DIAS KOPELIPA,Helder Vieira;MANUEL HELDER VIEIRA DIAS JUNIOR;Manuel Helder Vieira Dias Junior;VIEIRA DIAS JR,Manuel Helder;VIEIRA DIAS JUNIOR,Manuel Helder;VIEIRA DIAS JUNIOR,Manuel Hélder;VIEIRA DIAS JÚNIOR,Manuel Hélder;VIEIRA DIAS,Hélder;VIEIRA DIAS,Manuel Helder;VIEIRA DIAS,Manuel Hélder;VIERA DIAS,Manuel Hélder",
951,DORDA,Abu Zaid,"ABU ZAYD UMAR DORDA;ABUZED OE,Dorda;ABÚ ZAJD UMAR DÚRDA;Abou Zeid Omar Dourda;Abu Zayd Umar DORDA;Abu Zayd Umar Dorda;Abuzed Dorda;DORDA;DORDA ABU ZAYD UMAR;DORDA Abu Zayd Umar;DORDA,ABU ZAYD UMAR;DORDA,Abouzid Omar;DORDA,Abu Zaid;DORDA,Abu Zaid Omar;DORDA,Abu Zayd Umar;DORDA,Abuzed;DORDA,Abuzed OE;DORDA,Abuzed Omar;DORDA,Bou Zeid;DORDA,Bouzid;DORDA,Bu Zaid;DOURDA,Abu Zaid Omar;DOURDA,Abuzeid;DURDA,Abu Zayd Umar;DURDA,Abu Zeid Omar;Dorda Abu Zayd Umar;Dorda Abuzed OE;Dorda,Abu Zayd Umar;Dorda,Abuzed OE;OE,Dorda Abuzed",
1013,NATIONAL LIBERATION ARMY,,ARMEE DE LIBERATION NATIONALE;ARMEE NATIONALE DE LIBERATION;ARMY OF NATIONAL LIBERATION;Armata de Eliberare Nationala;Armee de liberation nationale;Army of National Liberation;Armée de libération nationale;Armée de libération nationale (Ejército de Liberación Nacional);Armée nationale de liberation;Den Nationale Befrielseshaer;Den Nationale Befrielseshær;EJERCITO DE LIBERACION NACIONAL;EJERCITO DE LIBERACION NACIONAL (ELN);EJÉRCITO DE LIBERACIÓN NACIONAL (ELN);ELN;Ejercito De Liberacion Nacional;Ejercito de Liberacion Nacional;Ejercito de Liberacion Nacional (ELN);Ejército de Liberaciòn Nacional;Ejército de Liberaciòn Nacional (Esercito di Liberazione Nazionale);Ejército de Liberación Nacional;Ejército de Liberación Nacional (Armée de libération nationale);Ejército de Liberación Nacional (ELN);Ejército de Liberación Nacional (Esercito di Liberazione Nazionale);Ejército de Liberación Nacional (National Liberation Army);Ejército de Liberación Nacional (Nationale Befreiungsarmee);Esercito di Liberazione Nazionale;Exército de Libertacao Nacional;Exército de Libertaçao Nacional;Exército de Libertação Nacional;Kansallinen vapautusarmeija;NLA;Nacionala atbrivosanas armija;Nacionaline islaisvinimo armija;Nacionalna osvobodilna vojska;Narodowa Armia Wyzwolenia;Nationaal Bevrijdingsleger;National Liberation Army;National Liberation Army (ELN);National Liberation Army (NLA);National Liberation Army / NLA;Nationale Befreiungsarmee;Nationella befrielsearmén;Nemzeti Felszabaditási Hadsereg;Nemzeti Felszabadítási Hadsereg;Národne osvobozenecká armáda;Národná oslobodzovacia armáda;Rahvuslik Vabastusarmee;an tArm um Shaoradh Náisiúnta,
