,left_firstname_phone,left_UID,similarity,right_requestID,right_lastnamePhone
101,"[b'MHMT', None]",585571,1.0000001,DD903844,"[b'MHMT', None]"
102,"[b'MHMT', None]",541341,1.0000001,DD903844,"[b'MHMT', None]"
103,"[b'MHMT', None]",280480,1.0000001,DD903844,"[b'MHMT', None]"
104,"[b'MHMT', None]",256022,1.0000001,DD903844,"[b'MHMT', None]"
105,"[b'MHMT', None]",227451,1.0000001,DD903844,"[b'MHMT', None]"
106,"[b'MHMT', None]",208539,1.0000001,DD903844,"[b'MHMT', None]"
107,"[b'MHMT', None]",148019,1.0000001,DD903844,"[b'MHMT', None]"
108,"[b'MHMT', None]",98006,1.0000001,DD903844,"[b'MHMT', None]"
109,"[b'MHMT', None]",50117,1.0000001,DD903844,"[b'MHMT', None]"
110,"[b'MHMT', None]",38920,1.0000001,DD903844,"[b'MHMT', None]"
111,"[b'MHMT', None]",38554,1.0000001,DD903844,"[b'MHMT', None]"
112,"[b'MHMT', None]",33515,1.0000001,DD903844,"[b'MHMT', None]"
113,"[b'MHMT', None]",3640,1.0000001,DD903844,"[b'MHMT', None]"
114,"[b'MHMT', None]",2901,1.0000001,DD903844,"[b'MHMT', None]"
115,"[b'JTN', b'KTN']",55951,0.99999994,EE123461,"[b'JTN', b'KTN']"
116,"[b'RTNM', None]",3621669,0.61367714,JJ1234586,"[b'RTN', None]"
