,left_WHOLE_NAME,left_UID,similarity_x,right_requestID,right_wholeName,left_lastname_phone,similarity_y,right_lastnamePhone
55,VISTA,939124,0.36718,GG1234576,SERVICIOS CHULAVISTA DE,,,
56,SERVICIOS SILSA SAC,1019057,0.34878424,GG1234576,SERVICIOS CHULAVISTA DE,"[b'SRFK', None]",1.0,"[b'SRFK', None]"
57,MULAVI,4914727,0.3412374,GG1234576,SERVICIOS CHULAVISTA DE,,,
58,SERPROVIS SA SERVICIOS Y PROVISIONES,875038,0.32976016,GG1234576,SERVICIOS CHULAVISTA DE,,,
59,ADT PETROSERVICIOS SA DE,1831168,0.32941806,GG1234576,SERVICIOS CHULAVISTA DE,,,
60,BUENOS AIRES SERVICIOS SA DE,1802886,0.31313083,GG1234576,SERVICIOS CHULAVISTA DE,,,
61,MULTISERVICIOS AGSA SA DE,769072,0.31219342,GG1234576,SERVICIOS CHULAVISTA DE,,,
62,SERVICIOS EMPRESARIALES FICIE SA DE,3531711,0.30615193,GG1234576,SERVICIOS CHULAVISTA DE,"[b'SRFK', None]",1.0,"[b'SRFK', None]"
63,ESTACION DE SERVICIO LA FLORESTA DE FUENTE DE ORO,1218412,0.30063364,GG1234576,SERVICIOS CHULAVISTA DE,,,
64,SERVICIOS EMPRESARIALES SODA SA DE,3531712,0.28818512,GG1234576,SERVICIOS CHULAVISTA DE,"[b'SRFK', None]",1.0,"[b'SRFK', None]"
65,MULTISERVICIOS JEVIZ SA DE,625142,0.28684995,GG1234576,SERVICIOS CHULAVISTA DE,,,
66,ALAVI,2088766,0.28677672,GG1234576,SERVICIOS CHULAVISTA DE,,,
67,CONTINENTE MOVIL Y SERVICIOS,1019048,0.28500372,GG1234576,SERVICIOS CHULAVISTA DE,,,
68,ESTACION DE SERVICIO LA TURQUESA,1218411,0.27443147,GG1234576,SERVICIOS CHULAVISTA DE,,,
69,GASODIESEL Y SERVICIOS ANCONA SA DE,1802887,0.27430028,GG1234576,SERVICIOS CHULAVISTA DE,,,
70,FROSCH,1793513,0.27395773,GG1234576,SERVICIOS CHULAVISTA DE,,,
71,INTERNACIONAL MONEY SERVICIO,2231252,0.27339518,GG1234576,SERVICIOS CHULAVISTA DE,,,
72,SERVICIOS ADMINISTRATIVOS Y DE ORGANIZACION S C,339087,0.2689501,GG1234576,SERVICIOS CHULAVISTA DE,"[b'SRFK', None]",1.0,"[b'SRFK', None]"
73,JELAVIC,1504,0.26561585,GG1234576,SERVICIOS CHULAVISTA DE,,,
74,OBRAS SERVICIOS Y MANTENIMIENTOS,1402548,0.2581851,GG1234576,SERVICIOS CHULAVISTA DE,,,
75,TECNOLOGIA DIGITAL Y SERVICIOS SA DE,769060,0.25752497,GG1234576,SERVICIOS CHULAVISTA DE,,,
76,CHU,4166778,0.25476423,GG1234576,SERVICIOS CHULAVISTA DE,,,
77,CHU,4166566,0.25476423,GG1234576,SERVICIOS CHULAVISTA DE,,,
78,CHU,3584624,0.25476423,GG1234576,SERVICIOS CHULAVISTA DE,,,
79,CHU,1104287,0.25476423,GG1234576,SERVICIOS CHULAVISTA DE,,,
80,GASOLINERA Y SERVICIOS VILLABONITA SA DE,1802937,0.25405374,GG1234576,SERVICIOS CHULAVISTA DE,,,
81,SERVICIOS TECNOLOGICOS INDUSTRIALES,3325030,0.2537125,GG1234576,SERVICIOS CHULAVISTA DE,"[b'SRFK', None]",1.0,"[b'SRFK', None]"
82,ESTACIONES DE SERVICIOS CANARIAS SA DE,1799569,0.40649042,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
83,ESTACION DE SERVICIO SERVIAGRICOLA DEL ARIARI,1218405,0.347928,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
84,VISTA,939124,0.30695367,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
85,ADT PETROSERVICIOS SA DE,1831168,0.30167136,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
86,SERVICIOS SILSA SAC,1019057,0.2915753,GG1234577,SERVICIOS CHULAVISTA CV SA DE,"[b'SRFK', None]",1.0,"[b'SRFK', None]"
87,BUENOS AIRES SERVICIOS SA DE,1802886,0.286756,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
88,MULTISERVICIOS AGSA SA DE,769072,0.28589752,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
89,MULAVI,4914727,0.28526634,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
90,ESTACION DE SERVICIO LA TURQUESA,1218411,0.2782128,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
91,SERVICIOS EMPRESARIALES FICIE SA DE,3531711,0.277139,GG1234577,SERVICIOS CHULAVISTA CV SA DE,"[b'SRFK', None]",1.0,"[b'SRFK', None]"
92,SERPROVIS SA SERVICIOS Y PROVISIONES,875038,0.2756716,GG1234577,SERVICIOS CHULAVISTA CV SA DE,,,
