,left_WHOLE_NAME,left_UID,similarity,right_Company CIK Key,right_Company Name
502, REEM PHARMACEUTICAL,3312046,0.6290509,1411158,"ANACOR PHARMACEUTICALS, INC."
503, IAC INTERNATIONAL INC,232101,0.6028733,1145971,ANAGRAM INTERNATIONAL INC
504, SES INTERNATIONAL CORP,226922,0.7031186,6292,ANALYSTS INTERNATIONAL CORP
505, IAC INTERNATIONAL INC,232101,0.65193105,1169773,ANAMED INTERNATIONAL INC
506, REYCO GMBH.,2041731,0.724641,1039693,ANASCO GMBH
507, SIMATIC DEVELOPMENT CO,1629765,0.6980545,1274299,ANC DEVELOPMENT CORP
508, TOVASE DEVELOPMENT CORP,5280920,0.6455165,1274299,ANC DEVELOPMENT CORP
509, REEM PHARMACEUTICAL,3312046,0.61275876,1577011,"ANCHEN PHARMACEUTICALS, INC."
510, A T E INTERNATIONAL LTD,7302,0.64691275,1256097,ANCHOR POINT INTERNATIONAL LTD
511, CK INTERNATIONAL LTD,3747404,0.63961613,1256097,ANCHOR POINT INTERNATIONAL LTD
512, CK INTERNATIONAL LTD,3747403,0.63961613,1256097,ANCHOR POINT INTERNATIONAL LTD
513, STARS INTERNATIONAL LTD,2357183,0.6017058,1256097,ANCHOR POINT INTERNATIONAL LTD
514, STARS INTERNATIONAL LTD,2357182,0.6017058,1256097,ANCHOR POINT INTERNATIONAL LTD
515, REEM PHARMACEUTICAL,3312046,0.6015789,1216005,ANCHORA PHARMACEUTICALS INC
516, REEM PHARMACEUTICAL,3312046,0.6302172,1401177,ANCORA PHARMACEUTICALS INC
517,Joshua MALINGA,75767,0.6122075,1621747,ANDERSON JOSHUA M
518, TOVASE DEVELOPMENT CORP,5280920,0.6260803,1085105,ANDINA DEVELOPMENT CORP
519, DOVER,1268228,0.61820257,1093580,ANDOVER NET INC
520, CHINA ELECTRONICS CORPORATION,253648,0.61791754,6494,ANDREA ELECTRONICS CORP
521, ALEL TECHNOLOGIES LLC,5837124,0.60664207,1516391,ANDREW TECHNOLOGIES LLC
522, SMILE TECHNOLOGIES SA,4992724,0.65944326,1271248,ANE TECHNOLOGIES INC
523, ALEL TECHNOLOGIES LLC,5837124,0.62864214,1271248,ANE TECHNOLOGIES INC
524, SMILE TECHNOLOGIES SA LLC,4992914,0.62319016,1271248,ANE TECHNOLOGIES INC
525, OMAN FUEL TRADING LTD,6110158,0.6912252,1096941,ANFEL TRADING LTD
526,Ryong KANG,2522134,0.63708586,1513746,ANG KANG HAN
527, SMILE TECHNOLOGIES SA,4992724,0.6854439,1703025,"ANGLE TECHNOLOGIES, INC."
528, SMILE TECHNOLOGIES SA LLC,4992914,0.64776146,1703025,"ANGLE TECHNOLOGIES, INC."
529, IRAN ALUMINUM COMPANY,1053730,0.62657726,1521138,ANGLO ALUMINUM CORP.
530, REEM PHARMACEUTICAL,3312046,0.6813545,1090459,ANGSTROM PHARMACEUTICALS INC
531, REEM PHARMACEUTICAL,3312046,0.6396939,1023024,ANI PHARMACEUTICALS INC
532, SIMATIC DEVELOPMENT CO,1629765,0.6601277,1514857,ANIMATION DEVELOPMENT CO LLC
533, SES INTERNATIONAL CORP,226922,0.6622776,1438600,ANKERSEN INTERNATIONAL CORP
534, TOP TECHNOLOGIES SARL,4344330,0.6107508,1425250,ANP TECHNOLOGIES INC
535, OYSTER INVESTMENTS LLC,4992912,0.6447932,1322014,ANS INVESTMENTS LLC
536, REEM PHARMACEUTICAL,3312046,0.62109166,946486,ANSAN PHARMACEUTICALS INC
537, SES INTERNATIONAL CORP,226922,0.6699196,1501112,ANTAGA INTERNATIONAL CORP
538, SES INTERNATIONAL CORP,226922,0.7099347,1600339,ANTANA INTERNATIONAL CORP
539, NIA INTERNATIONAL,2436802,0.60341775,1600339,ANTANA INTERNATIONAL CORP
540, SES INTERNATIONAL CORP,226922,0.7102052,1163842,ANTEON INTERNATIONAL CORP
541," DES INTERNATIONAL CO., LTD.",6138077,0.60130894,1163842,ANTEON INTERNATIONAL CORP
542," DES INTERNATIONAL CO., LTD.",6138072,0.60130894,1163842,ANTEON INTERNATIONAL CORP
543," DES INTERNATIONAL CO., LTD.",6138056,0.60130894,1163842,ANTEON INTERNATIONAL CORP
544," DES INTERNATIONAL CO., LTD.",6138031,0.60130894,1163842,ANTEON INTERNATIONAL CORP
545, DIGITAL MEDIA LAB,1793804,0.6193349,1568200,"ANTHEM DIGITAL MEDIA, INC."
546, IRAN INSURANCE COMPANY,1273811,0.66898775,1030769,ANTHEM INSURANCE COMPANIES INC
547, IRAN INSURANCE COMPANY,1273808,0.66898775,1030769,ANTHEM INSURANCE COMPANIES INC
548, IRAN INSURANCE COMPANY,1273807,0.66898775,1030769,ANTHEM INSURANCE COMPANIES INC
549, IRAN INSURANCE COMPANY,1273806,0.66898775,1030769,ANTHEM INSURANCE COMPANIES INC
550, IRAN INSURANCE COMPANY,1240026,0.66898775,1030769,ANTHEM INSURANCE COMPANIES INC
551, REEM PHARMACEUTICAL,3312046,0.60829014,1316175,ANTHERA PHARMACEUTICALS INC
552, ALEL TECHNOLOGIES LLC,5837124,0.616222,1443592,ANTHILL TECHNOLOGIES INC
553, GERTLER FAMILY FOUNDATION,3713019,0.62319237,1659282,ANTHONY PRITZKER FAMILY FOUNDATION
554, SES INTERNATIONAL CORP,226922,0.6974314,1192494,ANTICUS INTERNATIONAL CORP
555, GOLSAR,939118,0.61558914,1189100,ANTOL SARA M
556, DREX TECHNOLOGIES SA,1798243,0.63230217,1161681,ANULEX TECHNOLOGIES INC
557, IAC INTERNATIONAL INC,232101,0.6342435,1290991,"ANVIL INTERNATIONAL, INC."
558, STREAM,1794065,0.60171044,1127977,ANYSTREAM INC
559, BOM ASSET MANAGEMENT LTD,2399587,0.61234397,1594585,"AO ASSET MANAGEMENT, LLC"
560, SURGUTNEFTEGAS,2419804,0.833221,1021122,AO SURGUTNEFTEGAS                                       /FI
561, GREEN CAR RENT LIMITED PARTNERSHIP,376041,0.6088011,1509980,AOA LIMITED PARTNERSHIP
562, GOLDEN COMMODITIES LLC,4914703,0.6022528,1519855,AOI COMMODITIES LP
563, APAMA,1268248,0.80407137,1116904,APAMA INC
564, ALEL TECHNOLOGIES LLC,5837124,0.69230855,1595566,"APEEL TECHNOLOGIES, INC."
565, APEX DEVELOPMENT AND PROJECTS LLC,4888159,0.61214894,1266285,APEX DEVELOPMENT GROUP INC
566, SONEX INVESTMENTS LTD,4400919,0.75899065,1398346,APEX INVESTMENTS LTD.
567," PANDA ELECTRONICS GROUP CO., LTD.",1963921,0.6416837,1022282,API ELECTRONICS GROUP INC
568, OYSTER INVESTMENTS LLC,4992912,0.60622406,1137193,"API INVESTMENTS, L.L.C."
